source,target,shortest_path,hours,days_used_by_model
BC3C50,BC4C60,BC3C50->C5->BC4C50->C4->BC4C60,0.1291666667,0.0053819444
BC3C50,BC5C60,BC3C50->C5->BC5C60,0.0458333333,0.0019097222
BC3C60,C1,BC3C60->C3->BC1C30->C1,0.1291666667,0.0053819444
BC3C60,C2,BC3C60->C6->BC2C60->C2,0.0625000000,0.0026041667
BC3C60,C3,BC3C60->C3,0.0166666667,0.0006944444
BC3C60,C4,BC3C60->C3->BC3C40->C4,0.0750000000,0.0031250000
BC3C60,C5,BC3C60->C3->BC3C50->C5,0.0750000000,0.0031250000
BC3C60,C6,BC3C60->C6,0.0375000000,0.0015625000
BC3C60,BC1C20,BC3C60->C6->BC2C60->C2->BC1C20,0.1250000000,0.0052083333
BC3C60,BC1C30,BC3C60->C3->BC1C30,0.0791666667,0.0032986111
BC3C60,BC1C40,BC3C60->C3->BC3C40->C4->BC1C40,0.1250000000,0.0052083333
BC3C60,BC1C50,BC3C60->C3->BC3C50->C5->BC1C50,0.1250000000,0.0052083333
BC3C60,BC1C60,BC3C60->C6->BC1C60,0.0875000000,0.0036458333
BC3C60,BC2C30,BC3C60->C3->BC2C30,0.0583333333,0.0024305556
BC3C60,BC2C40,BC3C60->C6->BC2C60->C2->BC2C40,0.0875000000,0.0036458333
BC3C60,BC2C50,BC3C60->C6->BC2C60->C2->BC2C50,0.0875000000,0.0036458333
BC3C60,BC2C60,BC3C60->C6->BC2C60,0.0541666667,0.0022569444
BC3C60,BC3C40,BC3C60->C3->BC3C40,0.0416666667,0.0017361111
BC3C60,BC3C50,BC3C60->C3->BC3C50,0.0416666667,0.0017361111
BC3C60,BC4C50,BC3C60->C3->BC3C40->C4->BC4C50,0.0875000000,0.0036458333
BC3C60,BC4C60,BC3C60->C6->BC4C60,0.1208333333,0.0050347222
BC3C60,BC5C60,BC3C60->C6->BC5C60,0.0708333333,0.0029513889
BC4C50,C1,BC4C50->C4->BC1C40->C1,0.0791666667,0.0032986111
BC4C50,C2,BC4C50->C4->BC2C40->C2,0.0750000000,0.0031250000
BC4C50,C3,BC4C50->C4->BC3C40->C3,0.0708333333,0.0029513889
BC4C50,C4,BC4C50->C4,0.0125000000,0.0005208333
BC4C50,C5,BC4C50->C5,0.0333333333,0.0013888889
BC4C50,C6,BC4C50->C5->BC5C60->C6,0.0791666667,0.0032986111
BC4C50,BC1C20,BC4C50->C4->BC1C40->C1->BC1C20,0.0958333333,0.0039930556
BC4C50,BC1C30,BC4C50->C4->BC1C40->C1->BC1C30,0.1291666667,0.0053819444
BC4C50,BC1C40,BC4C50->C4->BC1C40,0.0625000000,0.0026041667
BC4C50,BC1C50,BC4C50->C5->BC1C50,0.0833333333,0.0034722222
BC4C50,BC1C60,BC4C50->C5->BC5C60->C6->BC1C60,0.1291666667,0.0053819444
BC4C50,BC2C30,BC4C50->C4->BC2C40->C2->BC2C30,0.1000000000,0.0041666667
BC4C50,BC2C40,BC4C50->C4->BC2C40,0.0500000000,0.0020833333
BC4C50,BC2C50,BC4C50->C5->BC2C50,0.0833333333,0.0034722222
BC4C50,BC2C60,BC4C50->C4->BC2C40->C2->BC2C60,0.0833333333,0.0034722222
BC4C50,BC3C40,BC4C50->C4->BC3C40,0.0458333333,0.0019097222
BC4C50,BC3C50,BC4C50->C5->BC3C50,0.0666666667,0.0027777778
BC4C50,BC3C60,BC4C50->C4->BC3C40->C3->BC3C60,0.0875000000,0.0036458333
BC4C50,BC4C60,BC4C50->C4->BC4C60,0.0625000000,0.0026041667
BC4C50,BC5C60,BC4C50->C5->BC5C60,0.0458333333,0.0019097222
BC4C60,C1,BC4C60->C4->BC1C40->C1,0.1166666667,0.0048611111
BC4C60,C2,BC4C60->C6->BC2C60->C2,0.1083333333,0.0045138889
BC4C60,C3,BC4C60->C4->BC3C40->C3,0.1083333333,0.0045138889
BC4C60,C4,BC4C60->C4,0.0500000000,0.0020833333
BC4C60,C5,BC4C60->C4->BC4C50->C5,0.0958333333,0.0039930556
BC4C60,C6,BC4C60->C6,0.0833333333,0.0034722222
BC4C60,BC1C20,BC4C60->C4->BC1C40->C1->BC1C20,0.1333333333,0.0055555556
BC4C60,BC1C30,BC4C60->C4->BC1C40->C1->BC1C30,0.1666666667,0.0069444444
BC4C60,BC1C40,BC4C60->C4->BC1C40,0.1000000000,0.0041666667
BC4C60,BC1C50,BC4C60->C4->BC4C50->C5->BC1C50,0.1458333333,0.0060763889
BC4C60,BC1C60,BC4C60->C6->BC1C60,0.1333333333,0.0055555556
BC4C60,BC2C30,BC4C60->C6->BC2C60->C2->BC2C30,0.1333333333,0.0055555556
BC4C60,BC2C40,BC4C60->C4->BC2C40,0.0875000000,0.0036458333
BC4C60,BC2C50,BC4C60->C6->BC2C60->C2->BC2C50,0.1333333333,0.0055555556
BC4C60,BC2C60,BC4C60->C6->BC2C60,0.1000000000,0.0041666667
BC4C60,BC3C40,BC4C60->C4->BC3C40,0.0833333333,0.0034722222
BC4C60,BC3C50,BC4C60->C4->BC4C50->C5->BC3C50,0.1291666667,0.0053819444
BC4C60,BC3C60,BC4C60->C6->BC3C60,0.1208333333,0.0050347222
BC4C60,BC4C50,BC4C60->C4->BC4C50,0.0625000000,0.0026041667
BC4C60,BC5C60,BC4C60->C4->BC4C50->C5->BC5C60,0.1083333333,0.0045138889
BC5C60,C1,BC5C60->C5->BC4C50->C4->BC1C40->C1,0.1250000000,0.0052083333
BC5C60,C2,BC5C60->C6->BC2C60->C2,0.0583333333,0.0024305556
BC5C60,C3,BC5C60->C5->BC3C50->C3,0.0708333333,0.0029513889
BC5C60,C4,BC5C60->C5->BC4C50->C4,0.0583333333,0.0024305556
BC5C60,C5,BC5C60->C5,0.0125000000,0.0005208333
BC5C60,C6,BC5C60->C6,0.0333333333,0.0013888889
BC5C60,BC1C20,BC5C60->C6->BC2C60->C2->BC1C20,0.1208333333,0.0050347222
BC5C60,BC1C30,BC5C60->C5->BC3C50->C3->BC1C30,0.1333333333,0.0055555556
BC5C60,BC1C40,BC5C60->C5->BC4C50->C4->BC1C40,0.1083333333,0.0045138889
BC5C60,BC1C50,BC5C60->C5->BC1C50,0.0625000000,0.0026041667
BC5C60,BC1C60,BC5C60->C6->BC1C60,0.0833333333,0.0034722222
BC5C60,BC2C30,BC5C60->C6->BC2C60->C2->BC2C30,0.0833333333,0.0034722222
BC5C60,BC2C40,BC5C60->C6->BC2C60->C2->BC2C40,0.0833333333,0.0034722222
BC5C60,BC2C50,BC5C60->C5->BC2C50,0.0625000000,0.0026041667
BC5C60,BC2C60,BC5C60->C6->BC2C60,0.0500000000,0.0020833333
BC5C60,BC3C40,BC5C60->C5->BC4C50->C4->BC3C40,0.0916666667,0.0038194444
BC5C60,BC3C50,BC5C60->C5->BC3C50,0.0458333333,0.0019097222
BC5C60,BC3C60,BC5C60->C6->BC3C60,0.0708333333,0.0029513889
BC5C60,BC4C50,BC5C60->C5->BC4C50,0.0458333333,0.0019097222
BC5C60,BC4C60,BC5C60->C5->BC4C50->C4->BC4C60,0.1083333333,0.0045138889
